URL,Num Samples,Avg Time Taken,Avg Latency Sum,Avg Num Hops,
facebook.com,200,33.56403492220004,112.78666666724999,8.22,
youtube.com,200,40.994977842549986,123.12083333380005,9.0,
google.com,200,40.98320460065001,125.20749999779987,9.0,
twitter.com,200,35.920887216099985,207.2941666655001,10.0,
wordpress.com,200,20.285412081649994,91.56499999949997,7.0,
gmail.com,200,40.83301432019999,122.36499999914994,9.0,
tripadvisor.com,200,26.05160886274999,436.7275000110501,9.895,
yahoo.com,200,47.790449012499955,326.98750000099994,11.585,
apple.com,200,15.703422021700007,91.50666666750004,7.0,
glassdoor.com,200,30.28731210575,84.38999999890001,6.22,
